,Name
1008,bbb_1941
4827,bbb_5547
6455,bbb_710
6783,bbb_744
2845,bbb_3655
1046,bbb_1975
1638,bbb_2520
4061,bbb_480
3317,bbb_408
2291,bbb_3135
1043,bbb_1973
2844,bbb_3654
5747,bbb_6429
5654,bbb_634
5763,bbb_644
4639,bbb_5365
6350,bbb_700
2457,bbb_3289
7048,bbb_7693
1449,bbb_2350
4675,bbb_5398
1136,bbb_206
479,bbb_1444
6361,bbb_701
26,bbb_1024
7457,DrugBank_50
4731,bbb_5448
6905,bbb_7559
5128,bbb_5835
7101,bbb_774
2407,bbb_3241
404,bbb_1375
5444,bbb_613
4726,bbb_544
1398,bbb_2304
5737,bbb_6420
3766,bbb_4522
7333,bbb_932
4955,bbb_5666
1435,bbb_2338
7076,bbb_7721
1209,bbb_213
5359,bbb_6052
4460,bbb_519
7179,bbb_790
2969,bbb_3769
7325,bbb_924
2983,bbb_3782
2170,bbb_3013
7360,bbb_955
352,bbb_1328
394,bbb_1366
1252,bbb_2173
4091,bbb_4841
487,bbb_1452
322,bbb_1300
6175,bbb_6837
1370,bbb_2279
5262,bbb_5959
1418,bbb_2323
4505,bbb_5236
4346,bbb_5088
6845,bbb_750
3009,bbb_3805
1562,bbb_2451
11,bbb_1011
306,bbb_1285
6937,bbb_7591
5415,bbb_6106
2567,bbb_339
2857,bbb_3667
3532,bbb_4281
2965,bbb_3765
5939,bbb_6617
4691,bbb_5412
2186,bbb_3028
5270,bbb_5966
7047,bbb_7692
1307,bbb_2223
7041,bbb_7686
7051,bbb_7695
4995,bbb_5706
6010,bbb_6683
3051,bbb_384
4824,bbb_5542
5268,bbb_5964
4733,bbb_5450
1955,bbb_2810
7195,bbb_804
4997,bbb_5708
5835,bbb_6518
7123,bbb_7764
2801,bbb_3616
7196,bbb_805
6344,bbb_6998
7037,bbb_7683
1742,bbb_2614
4651,bbb_5376
4666,bbb_5390
7131,bbb_7772
115,bbb_1107
4556,bbb_5285
4661,bbb_5385
1174,bbb_2099
7050,bbb_7694
1946,bbb_2802
2795,bbb_3611
419,bbb_1389
2292,bbb_3136
5460,bbb_6147
7478,DrugBank_73
3930,bbb_4677
3330,bbb_4095
6997,bbb_7644
4559,bbb_5288
4642,bbb_5368
2207,bbb_3046
2280,bbb_3122
5193,bbb_5895
1629,bbb_2512
2897,bbb_370
1336,bbb_2248
4941,bbb_5653
6761,bbb_7423
3731,bbb_448
3502,bbb_425
5814,bbb_6495
406,bbb_1377
407,bbb_1378
171,bbb_1158
2323,bbb_316
7327,bbb_926
3435,bbb_4193
5061,bbb_5770
3161,bbb_3943
5583,bbb_6266
65,bbb_1060
6622,bbb_7275
158,bbb_1146
6016,bbb_6688
5410,bbb_6102
1814,bbb_2681
1440,bbb_2342
7465,DrugBank_58
6938,bbb_7592
3556,bbb_430
4710,bbb_5430
4372,bbb_5113
1359,bbb_2269
1240,bbb_2161
4949,bbb_5660
5113,bbb_5820
4148,bbb_4900
4919,bbb_5633
7209,bbb_817
1758,bbb_2629
5207,bbb_5908
2846,bbb_3656
1740,bbb_2613
5181,bbb_588
2199,bbb_30
4634,bbb_5361
5639,bbb_6331
2682,bbb_350
6568,bbb_7218
6348,bbb_7002
3460,bbb_4215
962,bbb_1898
166,bbb_115
4689,bbb_5410
3243,bbb_4017
5236,bbb_5936
4462,bbb_5195
4330,bbb_5073
7374,bbb_968
2376,bbb_321
5232,bbb_5933
5546,bbb_6230
1926,bbb_278
4761,bbb_5481
2419,bbb_3252
3913,bbb_4657
4988,bbb_5699
5241,bbb_5940
3928,bbb_4675
1213,bbb_2137
3827,bbb_4579
1382,bbb_2290
1871,bbb_273
4967,bbb_5678
4368,bbb_5109
5063,bbb_5772
5183,bbb_5885
4356,bbb_5098
1256,bbb_2176
7225,bbb_833
2893,bbb_3700
4530,bbb_5259
5253,bbb_5951
2987,bbb_3785
261,bbb_1241
2012,bbb_2861
1799,bbb_2666
1985,bbb_2837
7113,bbb_7755
539,bbb_1502
6005,bbb_6678
5251,bbb_5949
1431,bbb_2334
7367,bbb_962
6748,bbb_7409
480,bbb_1445
4274,bbb_5019
1433,bbb_2336
2978,bbb_3777
1005,bbb_1938
1483,bbb_2381
4937,bbb_5649
113,bbb_1105
2950,bbb_3752
4976,bbb_5687
6476,bbb_712
1552,bbb_2442
7387,bbb_982
6056,bbb_6725
1368,bbb_2277
6098,bbb_676
4939,bbb_5651
6211,bbb_6873
4470,bbb_520
4849,bbb_5567
4303,bbb_5048
3757,bbb_4509
2398,bbb_323
4349,bbb_5091
1591,bbb_2477
4858,bbb_5575
3546,bbb_429
1070,bbb_1999
1713,bbb_2588
3683,bbb_4437
4608,bbb_5336
7446,DrugBank_39
7194,bbb_80
6600,bbb_725
1231,bbb_2153
4456,bbb_5190
4692,bbb_5413
7265,bbb_869
5192,bbb_5894
7063,bbb_7706
7396,bbb_990
3035,bbb_3829
2221,bbb_3059
7138,bbb_7778
563,bbb_1525
7332,bbb_931
5158,bbb_5862
4948,bbb_5659
1341,bbb_2253
1743,bbb_2615
5217,bbb_5917
4404,bbb_5141
3331,bbb_4096
5714,bbb_6
6967,bbb_7618
4652,bbb_5377
2718,bbb_3539
4418,bbb_515
2926,bbb_3730
3646,bbb_4
6942,bbb_7595
4887,bbb_5602
4940,bbb_5652
2456,bbb_3288
5456,bbb_614
1017,bbb_1949
7260,bbb_864
256,bbb_1237
4355,bbb_5097
5797,bbb_6475
7270,bbb_874
4476,bbb_5209
466,bbb_143
1007,bbb_19
2856,bbb_3666
5013,bbb_5724
625,bbb_1582
7292,bbb_894
444,bbb_1412
4957,bbb_5668
768,bbb_1719
1935,bbb_2792
6815,bbb_7474
3160,bbb_3942
4683,bbb_5404
3725,bbb_4477
6395,bbb_7044
7492,DrugBank_88
2169,bbb_3012
4708,bbb_5428
6383,bbb_703
5210,bbb_5911
3225,bbb_4001
1432,bbb_2335
5066,bbb_5774
5011,bbb_5723
3121,bbb_3907
2996,bbb_379
3206,bbb_398
502,bbb_1467
1426,bbb_2330
4426,bbb_5161
4910,bbb_5624
