,Name
4304,bbb_3302
7261,bbb_6258
686,bbb_747
5834,bbb_5085
5511,bbb_3656
124,bbb_408
1982,bbb_3013
2492,bbb_2520
684,bbb_744
4772,bbb_7380
5836,bbb_5089
583,bbb_635
3429,bbb_3028
1020,bbb_5024
69,bbb_480
3159,bbb_6597
1060,bbb_3293
5960,bbb_5547
7081,bbb_5365
611,bbb_662
4777,bbb_7413
5800,bbb_6836
7273,bbb_6818
2964,bbb_4255
854,bbb_924
1119,bbb_5666
6993,bbb_4678
6893,bbb_2489
6821,bbb_2350
2227,DrugBank_50
966,bbb_1042
1193,bbb_5452
678,bbb_739
3053,bbb_5557
5094,bbb_1899
6805,bbb_2304
6511,bbb_1452
995,bbb_7474
4798,bbb_7559
7177,bbb_5769
2021,bbb_4281
860,bbb_932
6031,bbb_5891
7156,bbb_5704
7005,bbb_5090
891,bbb_961
7196,bbb_5838
255,bbb_267
7256,bbb_5967
7194,bbb_5836
2278,bbb_3189
2201,bbb_7448
5183,bbb_2338
1176,bbb_4163
402,bbb_109
4621,bbb_5896
216,bbb_308
6203,bbb_6694
1070,bbb_4988
3441,bbb_3137
4733,bbb_7041
6032,bbb_5893
642,bbb_701
5262,bbb_2629
4774,bbb_7382
19,bbb_518
619,bbb_676
2415,bbb_6982
7323,bbb_7686
91,bbb_439
2082,bbb_5150
515,bbb_544
4344,bbb_3491
631,bbb_687
7170,bbb_5747
752,bbb_817
641,bbb_700
7053,bbb_5305
580,bbb_631
3074,bbb_5789
4710,bbb_6758
471,bbb_33
3242,bbb_7616
4967,bbb_1444
5961,bbb_5549
4806,bbb_7610
2376,bbb_6147
7022,bbb_5196
1013,bbb_4522
70,bbb_481
7234,bbb_5921
2861,bbb_2861
7137,bbb_5554
896,bbb_968
2814,bbb_1949
6528,bbb_1529
7269,bbb_6765
6755,bbb_2223
3247,bbb_7694
2038,bbb_4512
140,bbb_388
5221,bbb_2487
4397,bbb_3782
7099,bbb_5398
7284,bbb_7130
7037,bbb_5236
7267,bbb_6704
4416,bbb_3907
5403,bbb_3241
7087,bbb_5376
6388,bbb_7695
3032,bbb_5172
7303,bbb_7591
7083,bbb_5368
7253,bbb_5964
83,bbb_448
7233,bbb_5911
2423,bbb_7271
4602,bbb_5681
288,bbb_234
5209,bbb_2451
692,bbb_750
2339,bbb_5014
203,bbb_320
7131,bbb_5535
807,bbb_873
7369,bbb_7802
238,bbb_288
6725,bbb_2173
7245,bbb_5942
3090,bbb_5959
7339,bbb_7764
2930,bbb_3630
104,bbb_430
3514,bbb_3667
1157,bbb_1158
7152,bbb_5656
6382,bbb_7678
2408,bbb_6833
4731,bbb_7039
7325,bbb_7692
7300,bbb_7573
2838,bbb_2467
5916,bbb_5358
1741,bbb_5387
1583,bbb_2728
6412,DrugBank_10
680,bbb_741
7126,bbb_5527
532,bbb_576
7127,bbb_5528
5115,bbb_1973
1409,bbb_5585
5915,bbb_5357
2667,bbb_6208
2706,bbb_6850
4407,bbb_3874
2373,bbb_6079
5307,bbb_2824
950,bbb_1024
7236,bbb_5927
3926,bbb_6668
2605,bbb_4878
6995,bbb_4696
4618,bbb_5855
6999,bbb_4998
4420,bbb_3948
590,bbb_643
786,bbb_851
7218,bbb_5877
6378,bbb_7656
4857,DrugBank_2
1610,bbb_2940
7059,bbb_5317
2821,bbb_1999
6579,bbb_1652
4312,bbb_3356
5568,bbb_3776
214,bbb_316
2798,bbb_1367
257,bbb_273
5895,bbb_5284
6441,DrugBank_81
5715,bbb_4128
4222,bbb_2589
3126,bbb_6244
6014,bbb_5824
6764,bbb_2248
5913,bbb_5350
7071,bbb_5336
2652,bbb_5699
665,bbb_725
2274,bbb_3175
2641,bbb_5588
6582,bbb_1662
4367,bbb_3616
1033,bbb_7401
2946,bbb_4193
7322,bbb_7685
438,bbb_68
719,bbb_779
4608,bbb_5708
7179,bbb_5788
42,bbb_491
474,bbb_29
828,bbb_897
173,bbb_350
6569,bbb_1628
7046,bbb_5259
7162,bbb_5716
301,bbb_229
4610,bbb_5732
5827,bbb_5050
6935,bbb_2581
1092,bbb_5184
473,bbb_31
4924,bbb_1239
6803,bbb_2300
4626,bbb_5974
4568,bbb_5194
3037,bbb_5285
5724,bbb_4215
3360,bbb_2163
722,bbb_787
4624,bbb_5924
826,bbb_894
7296,bbb_7423
1746,bbb_5602
3178,bbb_6873
394,bbb_115
1189,bbb_5151
3622,bbb_4073
2485,bbb_2099
6374,bbb_7644
1073,bbb_5677
6752,bbb_2218
6842,bbb_2381
335,bbb_174
2567,bbb_4124
3919,bbb_6617
266,bbb_256
6495,bbb_1328
7270,bbb_6797
7212,bbb_5863
3762,bbb_5048
813,bbb_882
725,bbb_790
2496,bbb_2588
3754,bbb_4996
3222,bbb_7342
107,bbb_431
1187,bbb_5038
6370,bbb_7618
4387,bbb_3728
6061,bbb_6085
7372,bbb_7806
2750,bbb_7666
1066,bbb_4488
1109,bbb_2013
178,bbb_337
277,bbb_250
7252,bbb_5963
6457,bbb_1089
361,bbb_154
2399,bbb_6772
6425,DrugBank_24
193,bbb_333
2013,bbb_4262
804,bbb_874
1204,bbb_5687
2858,bbb_2827
588,bbb_642
4099,bbb_1261
7166,bbb_5723
794,bbb_864
7337,bbb_7762
2365,bbb_5724
6787,bbb_2277
5964,bbb_5558
6513,bbb_1467
2739,bbb_7298
4441,bbb_4095
1836,bbb_6955
187,bbb_357
4494,bbb_4579
1491,bbb_7123
6852,bbb_2412
424,bbb_79
7222,bbb_5888
1998,bbb_3469
5799,bbb_6094
5510,bbb_3655
6372,bbb_7624
695,bbb_755
546,bbb_596
21,bbb_520
4814,bbb_7706
4556,bbb_5053
953,bbb_1027
3085,bbb_5915
332,bbb_184
2592,bbb_7389
6633,bbb_1773
782,bbb_853
1173,bbb_3422
6728,bbb_2176
7061,bbb_5319
5968,bbb_5601
5890,bbb_5273
5259,bbb_2617
4309,bbb_3353
6622,bbb_1756
6941,bbb_2608
2099,bbb_5787
766,bbb_833
2649,bbb_5652
6473,bbb_1156
4316,bbb_3369
801,bbb_869
823,bbb_892
2368,bbb_5973
5721,bbb_4204
596,bbb_649
6197,bbb_6678
245,bbb_279
1281,bbb_2837
6959,bbb_3690
