,Name
3139,bbb_392
2992,bbb_3790
5167,bbb_5871
4626,bbb_5352
1630,bbb_2513
164,bbb_1152
2091,bbb_293
4520,bbb_5250
4977,bbb_5688
4841,bbb_5560
5252,bbb_5950
1409,bbb_2314
5179,bbb_5882
2841,bbb_3652
4720,bbb_5439
1523,bbb_2416
2840,bbb_3651
4633,bbb_5360
1530,bbb_2423
6113,bbb_6777
7441,DrugBank_34
4704,bbb_5424
7185,bbb_795
3751,bbb_450
5819,bbb_650
5821,bbb_6505
5009,bbb_5721
6319,bbb_697
3311,bbb_4078
6805,bbb_746
4668,bbb_5392
1637,bbb_2519
6590,bbb_724
7249,bbb_854
5478,bbb_616
5255,bbb_5953
4344,bbb_5085
6961,bbb_7613
5220,bbb_5920
4895,bbb_5610
4405,bbb_5142
4711,bbb_5431
4879,bbb_5594
4236,bbb_498
2526,bbb_3351
5308,bbb_600
999,bbb_1933
1346,bbb_2257
4819,bbb_5538
1438,bbb_2340
6611,bbb_726
5264,bbb_5961
5665,bbb_635
2572,bbb_3
2461,bbb_3293
7114,bbb_7756
4645,bbb_5371
4377,bbb_5117
1938,bbb_2794
3777,bbb_453
1403,bbb_2309
4529,bbb_5258
3922,bbb_4665
7419,DrugBank_12
45,bbb_1041
241,bbb_122
5234,bbb_5934
5269,bbb_5965
5382,bbb_607
5222,bbb_5922
6992,bbb_7640
4924,bbb_5637
5189,bbb_5892
3504,bbb_4255
23,bbb_1022
4701,bbb_5422
7550,DrugBank_160
5041,bbb_5751
4698,bbb_5418
3228,bbb_400
4638,bbb_5364
4706,bbb_5426
4992,bbb_5703
5231,bbb_5932
3120,bbb_3906
1624,bbb_2507
4951,bbb_5662
1614,bbb_2498
2244,bbb_308
3062,bbb_385
4392,bbb_5131
4820,bbb_5539
1648,bbb_2530
4087,bbb_4835
5257,bbb_5954
4442,bbb_5177
2849,bbb_3659
5393,bbb_608
1352,bbb_2263
7366,bbb_961
1454,bbb_2354
6155,bbb_6819
1513,bbb_2407
2350,bbb_3189
4823,bbb_5541
4467,bbb_5200
5271,bbb_5967
4781,bbb_5500
5917,bbb_6597
5272,bbb_5968
4594,bbb_532
4838,bbb_5557
5634,bbb_6325
7334,bbb_933
4864,bbb_5581
4956,bbb_5667
5614,bbb_6300
2704,bbb_3526
1807,bbb_267
4409,bbb_5145
4828,bbb_5548
4662,bbb_5386
1364,bbb_227
4885,bbb_5600
4592,bbb_5322
5030,bbb_5740
7046,bbb_7691
5043,bbb_5753
1576,bbb_246
4999,bbb_5710
5261,bbb_5958
710,bbb_1660
4719,bbb_5438
4449,bbb_518
6034,bbb_6704
353,bbb_1329
3402,bbb_4163
2947,bbb_3749
1617,bbb_2501
5451,bbb_61
