,Name
4161,bbb_1941
6962,bbb_3790
1038,bbb_5688
7079,bbb_5352
991,bbb_5594
7220,bbb_5882
6908,bbb_2513
7217,bbb_5871
7138,bbb_5560
6470,bbb_1152
229,bbb_293
7265,bbb_6430
6045,bbb_5961
6771,bbb_2258
7248,bbb_5950
6809,bbb_2314
2125,bbb_6209
6855,bbb_2416
6498,bbb_1412
5884,bbb_5250
4675,bbb_6505
6860,bbb_2423
2700,bbb_6777
7112,bbb_5425
4582,bbb_5392
1011,bbb_4372
685,bbb_746
597,bbb_650
7307,bbb_7613
7172,bbb_5751
7155,bbb_5703
7254,bbb_5965
5917,bbb_5360
728,bbb_795
582,bbb_634
6909,bbb_2519
643,bbb_697
7264,bbb_6429
144,bbb_385
7115,bbb_5439
1752,bbb_5953
7024,bbb_5200
4415,bbb_3906
6433,DrugBank_34
2351,bbb_5538
985,bbb_2607
2367,bbb_5920
6985,bbb_4078
6770,bbb_2257
5513,bbb_3659
2763,DrugBank_18
6965,bbb_3821
6414,DrugBank_12
4617,bbb_5820
85,bbb_450
856,bbb_926
7015,bbb_5117
788,bbb_854
315,bbb_206
7080,bbb_5364
3047,bbb_5431
6818,bbb_2340
7165,bbb_5721
567,bbb_616
5857,bbb_5145
7235,bbb_5923
664,bbb_724
2098,bbb_5662
1401,bbb_5131
2732,bbb_7269
7149,bbb_5637
7142,bbb_5610
7085,bbb_5371
6904,bbb_2507
550,bbb_600
666,bbb_726
7045,bbb_5258
2643,bbb_5600
278,bbb_246
6947,bbb_2794
7240,bbb_5934
3954,bbb_6804
4584,bbb_5422
131,bbb_400
7257,bbb_5968
7193,bbb_5835
2761,DrugBank_160
2966,bbb_4257
5430,bbb_3351
3083,bbb_5892
948,bbb_1022
7134,bbb_5541
6145,bbb_6420
3246,bbb_7693
1199,bbb_5617
2260,bbb_2810
7311,bbb_7640
14,bbb_523
562,bbb_607
1,bbb_532
861,bbb_933
5865,bbb_5186
2055,bbb_4738
5958,bbb_5539
389,bbb_122
715,bbb_774
1054,bbb_2322
300,bbb_227
7135,bbb_5542
7110,bbb_5418
7136,bbb_5548
6789,bbb_2279
7147,bbb_5630
7084,bbb_5369
6049,bbb_5972
7268,bbb_6705
7334,bbb_7756
7111,bbb_5424
1222,bbb_7409
6683,bbb_1933
1444,bbb_6325
968,bbb_1041
7363,bbb_7795
5904,bbb_5322
1206,bbb_6052
6807,bbb_2309
7195,bbb_5837
3313,bbb_1550
2318,bbb_4665
7274,bbb_6819
6039,bbb_5922
2576,bbb_4397
7020,bbb_5142
563,bbb_608
6580,bbb_1660
487,bbb_14
78,bbb_453
6897,bbb_2498
6810,bbb_2327
6048,bbb_5971
522,bbb_561
1080,bbb_7326
115,bbb_417
500,bbb_3
4351,bbb_3526
629,bbb_686
7239,bbb_5932
7124,bbb_5500
609,bbb_659
234,bbb_290
7094,bbb_5386
6823,bbb_2354
3267,DrugBank_73
4552,bbb_5000
1194,bbb_5581
6992,bbb_4677
2363,bbb_5693
6914,bbb_2530
7251,bbb_5954
39,bbb_498
5508,bbb_3652
740,bbb_805
7173,bbb_5753
4636,bbb_6154
150,bbb_377
20,bbb_519
309,bbb_213
992,bbb_5667
7225,bbb_5902
7168,bbb_5728
6462,bbb_1111
2780,bbb_1276
7160,bbb_5710
5991,bbb_5740
5170,bbb_2290
3840,bbb_5958
7159,bbb_5707
7107,bbb_5409
199,bbb_323
7183,bbb_5807
23,bbb_515
5638,bbb_3943
7364,bbb_7796
7001,bbb_5073
4601,bbb_5653
6899,bbb_2501
4227,bbb_2612
6871,bbb_2442
1671,bbb_4290
7210,bbb_5860
7205,bbb_5850
6958,bbb_3633
5848,bbb_5116
4417,bbb_3915
6584,bbb_1690
7340,bbb_7766
4393,bbb_3757
922,bbb_992
4595,bbb_5571
4585,bbb_5426
7114,bbb_5438
4078,DrugBank_98
1004,bbb_3122
1143,bbb_5595
1907,bbb_1530
6906,bbb_2510
